"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C43","1","10nF X7R","","","","Capacitor_SMD:C_0402_1005Metric",""
"C44,C45","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C46,C47","2","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D6,D7,D8","3","PPS","","","","LED_SMD:LED_0402_1005Metric",""
"FB2","1","LQG15HS47NJ02","","","","Inductor_SMD:L_0402_1005Metric",""
"J2","1","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"J3","1","Conn_01x04_MountingPin","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"J4","1","SMA_Edgelaunch","","","","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"J5","1","UFL","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"R1,R2","2","100k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4,R5,R6,R59","5","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R54","1","10R 0.25W","","","","Resistor_SMD:R_0402_1005Metric",""
"R55,R56,R57","3","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R58","1","36k","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","NEO-F9P","","","","RF_GPS:ublox_NEO","https://content.u-blox.com/sites/default/files/NEO-M8P_DataSheet_UBX-15016656.pdf"
"U2","1","RAK3172-xx-43-SM-xI","","","","RF_Module:RAK3172","https://docs.rakwireless.com/product-categories/wisduo/rak3172-module/datasheet"
"U3","1","TPS7A2033PDBVR","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tps7a20.pdf"
"U4","1","W25Q32JVZP","","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"U5","1","TPS2116DRL","","","","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps2116.pdf"
"U6","1","LSM6DSV320XTR","","","","PCM_SparkFun-Sensor:ST_LGA-14L_2.5x3.0mm_P0.5mm_4x3","https://www.st.com/resource/en/datasheet/lsm6dsox.pdf"
