Comment,Designator,Footprint,LCSC,Quantity
SMA_Edgelaunch,J4,SMA_Amphenol_132289_EdgeMount,,1
10k,R6,R_0402_1005Metric,,1
RAK3172-xx-43-SM-xI,U2,RAK3172,,1
Conn_01x02,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
TPS2116DRL,U5,SOT-583-8,,1
36k,R58,R_0402_1005Metric,,1
PPS,D7,LED_0402_1005Metric,,1
PPS,D6,LED_0402_1005Metric,,1
10k,R4,R_0402_1005Metric,,1
W25Q32JVZP,U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,,1
PPS,D8,LED_0402_1005Metric,,1
100k,R2,R_0402_1005Metric,,1
1uF,C45,C_0402_1005Metric,,1
TPS7A20xxxDBV,U3,SOT-23-5,,1
0.1uF,C47,C_0402_1005Metric,,1
10R 0.25W,R54,R_0402_1005Metric,,1
10k,R5,R_0402_1005Metric,,1
Conn_01x04_MountingPin,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,1
1k,R57,R_0402_1005Metric,,1
100k,R1,R_0402_1005Metric,,1
UFL,J5,U.FL_Molex_MCRF_73412-0110_Vertical,,1
1uF,C44,C_0402_1005Metric,,1
NEO-M8P,U1,ublox_NEO,,1
1k,R56,R_0402_1005Metric,,1
10k,R3,R_0402_1005Metric,,1
LQG15HS47NJ02,FB2,L_0402_1005Metric,,1
0.1uF,C46,C_0402_1005Metric,,1
LSM6DSOX,U6,ST_LGA-14L_2.5x3.0mm_P0.5mm_4x3,,1
10k,R59,R_0402_1005Metric,,1
1k,R55,R_0402_1005Metric,,1
10nF X7R,C43,C_0402_1005Metric,,1
