Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C43,10nF X7R,C_0402_1005Metric,76.294569,-54.917059,180.0,bottom
C44,1uF,C_0402_1005Metric,76.79616,-56.269346,0.0,bottom
C45,1uF,C_0402_1005Metric,74.903162,-56.28837,0.0,bottom
C46,0.1uF,C_0402_1005Metric,80.799342,-39.377584,0.0,bottom
C47,0.1uF,C_0402_1005Metric,81.068304,-34.957785,0.0,bottom
D6,PPS,LED_0402_1005Metric,69.5,-52.515,270.0,bottom
D7,PPS,LED_0402_1005Metric,69.5,-47.985,270.0,bottom
D8,PPS,LED_0402_1005Metric,69.485,-43.5,270.0,bottom
FB2,LQG15HS47NJ02,L_0402_1005Metric,74.340992,-54.910646,180.0,bottom
H1,MountingHole,MountingHole_2.7mm_M2.5_DIN965_Pad,86.0,-37.0,0.0,top
H2,MountingHole,MountingHole_2.7mm_Pad,71.5,-64.0,0.0,top
J1,TAGCONNECT,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,86.601517,-63.569201,90.0,top
J2,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,76.3,-63.621568,270.0,top
J3,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,81.803776,-63.714814,0.0,bottom
J4,SMA_Edgelaunch,SMA_Amphenol_132289_EdgeMount,73.780494,-37.01105,90.0,top
J5,UFL,U.FL_Molex_MCRF_73412-0110_Vertical,71.0,-57.525,270.0,bottom
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,81.85258,-37.347477,-90.0,top
R1,100k,R_0402_1005Metric,71.0,-43.5,90.0,bottom
R2,100k,R_0402_1005Metric,71.0,-41.5,90.0,bottom
R3,10k,R_0402_1005Metric,86.806913,-63.043012,0.0,bottom
R4,10k,R_0402_1005Metric,86.776142,-64.417505,180.0,bottom
R5,10k,R_0402_1005Metric,70.044316,-54.215153,0.0,bottom
R54,10R 0.25W,R_0402_1005Metric,78.250535,-54.83369,180.0,bottom
R55,1k,R_0402_1005Metric,69.5,-50.49,270.0,bottom
R56,1k,R_0402_1005Metric,69.5,-45.99,270.0,bottom
R57,1k,R_0402_1005Metric,69.5,-41.5,270.0,bottom
R58,36k,R_0402_1005Metric,78.897606,-56.737495,0.0,bottom
R59,10k,R_0402_1005Metric,80.340531,-56.25652,270.0,bottom
R6,10k,R_0402_1005Metric,71.0,-50.51,90.0,bottom
U1,NEO-M8P,ublox_NEO,80.0,-47.0,90.0,bottom
U2,RAK3172-xx-43-SM-xI,RAK3172,79.75,-48.6,-90.0,top
U3,TPS7A20xxxDBV,SOT-23-5,75.5,-58.5,270.0,bottom
U4,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,84.65,-56.925,270.0,bottom
U5,TPS2116DRL,SOT-583-8,79.25,-58.65,270.0,bottom
U6,LSM6DSOX,ST_LGA-14L_2.5x3.0mm_P0.5mm_4x3,81.243518,-37.15914,90.0,bottom
